City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Gurugram,"Teri Gram, Gurugram - HSPCB",20-11-2023 12:00:00,235,152,4,35,20,12,16
Gurugram,"Vikas Sadan, Gurugram - HSPCB",20-11-2023 12:00:00,226,,42,104,17,13,
Hisar,"Urban Estate-II, Hisar - HSPCB",20-11-2023 12:00:00,274,179,91,94,16,8,3
Jind,"Police Lines, Jind - HSPCB",20-11-2023 12:00:00,279,163,6,29,7,12,4
Kaithal,"Rishi Nagar, Kaithal - HSPCB",20-11-2023 12:00:00,221,173,21,54,31,25,8
Karnal,"Sector-12, Karnal - HSPCB",20-11-2023 12:00:00,158,135,15,5,11,10,11
Kurukshetra,"Sector-7, Kurukshetra - HSPCB",20-11-2023 12:00:00,230,132,13,35,11,19,6
Mandikhera,"General Hospital, Mandikhera - HSPCB",20-11-2023 12:00:00,46,134,35,58,30,19,19
Manesar,"Sector-2 IMT, Manesar - HSPCB",20-11-2023 12:00:00,234,184,25,50,22,2,13
Narnaul,"Shastri Nagar, Narnaul - HSPCB",20-11-2023 12:00:00,234,160,12,15,6,149,52
Palwal,"Shyam Nagar, Palwal - HSPCB",20-11-2023 12:00:00,58,131,9,54,10,5,3
Panchkula,"Sector-6, Panchkula - HSPCB ",20-11-2023 12:00:00,50,,9,27,47,25,
Panipat,"Sector-18, Panipat - HSPCB",20-11-2023 12:00:00,165,153,12,25,32,30,2
Rohtak,"MD University, Rohtak - HSPCB",20-11-2023 12:00:00,287,,9,22,40,35,
Sirsa,"F-Block, Sirsa - HSPCB",20-11-2023 12:00:00,334,201,18,101,39,13,18
Sonipat,"Murthal, Sonipat - HSPCB",20-11-2023 12:00:00,367,231,20,54,22,40,9
Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",20-11-2023 12:00:00,143,133,6,56,8,39,10
Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",20-11-2023 12:00:00,110,106,20,25,80,20,4
Srinagar,"Rajbagh, Srinagar - JKSPCB",20-11-2023 12:00:00,NA,NA,NA,20,6,NA,NA
Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",20-11-2023 12:00:00,NA,NA,NA,,10,NA,
Bagalkot,"Vidayagiri, Bagalkot - KSPCB",20-11-2023 12:00:00,40,39,8,30,8,17,2
Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",20-11-2023 12:00:00,29,66,14,46,20,10,1
Bengaluru,"BTM Layout, Bengaluru - CPCB",20-11-2023 12:00:00,31,44,12,49,27,28,3
Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",20-11-2023 12:00:00,80,73,6,50,11,11,1
Bengaluru,"City Railway Station, Bengaluru - KSPCB",20-11-2023 12:00:00,,90,13,67,,26,
Bengaluru,"Hebbal, Bengaluru - KSPCB",20-11-2023 12:00:00,44,49,30,,8,,
Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",20-11-2023 12:00:00,41,42,5,14,38,,
Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",20-11-2023 12:00:00,59,70,21,32,34,14,4
Bengaluru,"Jigani, Bengaluru - KSPCB",20-11-2023 12:00:00,49,71,16,47,45,35,3
Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",20-11-2023 12:00:00,34,37,8,25,15,17,4
Bengaluru,"Peenya, Bengaluru - CPCB",20-11-2023 12:00:00,34,36,9,37,34,22,5
Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",20-11-2023 12:00:00,NA,NA,8,52,40,31,4
Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",20-11-2023 12:00:00,,43,2,31,,26,
Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",20-11-2023 12:00:00,38,43,8,26,26,15,4
Bengaluru,"Silk Board, Bengaluru - KSPCB",20-11-2023 12:00:00,92,72,7,13,23,26,2
Bidar,"Naubad, Bidar - KSPCB",20-11-2023 12:00:00,106,92,16,31,29,8,3
Chamarajanagar,"Urban, Chamarajanagar - KSPCB",20-11-2023 12:00:00,30,44,4,20,21,29,2
Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",20-11-2023 12:00:00,49,42,13,25,35,6,1
